

** [alpha] Launch Training on 20230725_2110
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB2",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "const",
  "lr": 6e-05,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B0 Pretrained Wegiths\n",
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230725_2115 @20230725_2115 [EP 1/500] lr: 6e-05, took: 262.72s (avg: 262.72s), ETA: 1d:12h:18m:58s [TRAIN] loss: 0.8826, iou: 0.0654, f1: 0.1174 [EVAL] loss: 0.7375, iou: 0.1525, f1: 0.2625
@20230725_2117 @20230725_2117 [EP 2/500] lr: 6e-05, took: 123.26s (avg: 123.26s), ETA: 0d:17h:0m:54s [TRAIN] loss: 0.6582, iou: 0.2101, f1: 0.3418 [EVAL] loss: 0.5984, iou: 0.2551, f1: 0.4016
@20230725_2119 @20230725_2119 [EP 3/500] lr: 6e-05, took: 136.29s (avg: 136.29s), ETA: 0d:18h:46m:32s [TRAIN] loss: 0.5694, iou: 0.2794, f1: 0.4306 [EVAL] loss: 0.5407, iou: 0.3029, f1: 0.4593
@20230725_2122 @20230725_2122 [EP 4/500] lr: 6e-05, took: 134.82s (avg: 134.82s), ETA: 0d:18h:27m:44s [TRAIN] loss: 0.5050, iou: 0.3355, f1: 0.4950 [EVAL] loss: 0.5174, iou: 0.3234, f1: 0.4826
@20230725_2124 @20230725_2124 [EP 5/500] lr: 6e-05, took: 136.68s (avg: 136.68s), ETA: 0d:18h:42m:0s [TRAIN] loss: 0.4621, iou: 0.3754, f1: 0.5379 [EVAL] loss: 0.4671, iou: 0.3696, f1: 0.5329
@20230725_2126 @20230725_2126 [EP 6/500] lr: 6e-05, took: 120.27s (avg: 120.27s), ETA: 0d:16h:28m:0s [TRAIN] loss: 0.4261, iou: 0.4114, f1: 0.5739 [EVAL] loss: 0.4318, iou: 0.4043, f1: 0.5682
@20230725_2128 @20230725_2128 [EP 7/500] lr: 6e-05, took: 117.99s (avg: 117.99s), ETA: 0d:16h:1m:21s [TRAIN] loss: 0.4049, iou: 0.4325, f1: 0.5951 [EVAL] loss: 0.4194, iou: 0.4170, f1: 0.5806
@20230725_2130 @20230725_2130 [EP 8/500] lr: 6e-05, took: 117.92s (avg: 117.92s), ETA: 0d:15h:59m:24s [TRAIN] loss: 0.3875, iou: 0.4510, f1: 0.6125 [EVAL] loss: 0.4012, iou: 0.4356, f1: 0.5988
@20230725_2132 @20230725_2132 [EP 9/500] lr: 6e-05, took: 118.23s (avg: 118.23s), ETA: 0d:16h:5m:38s [TRAIN] loss: 0.3700, iou: 0.4699, f1: 0.6300 [EVAL] loss: 0.3879, iou: 0.4497, f1: 0.6121
@20230725_2134 @20230725_2134 [EP 10/500] lr: 6e-05, took: 118.65s (avg: 118.65s), ETA: 0d:16h:3m:40s [TRAIN] loss: 0.3580, iou: 0.4831, f1: 0.6420 [EVAL] loss: 0.3779, iou: 0.4610, f1: 0.6221
@20230725_2136 @20230725_2136 [EP 11/500] lr: 6e-05, took: 118.17s (avg: 118.17s), ETA: 0d:16h:1m:42s [TRAIN] loss: 0.3470, iou: 0.4952, f1: 0.6530 [EVAL] loss: 0.3756, iou: 0.4630, f1: 0.6244
